Borehole_id,gw_ahd,gwd_bg,Elevation,Lithology_at_water_level,at_thickness,Lithology_above,above_thickness,Lithology_below,below_thickness,,,,,,,,,,
GW021266.3.4,175.52,22.98,198.5,Clay,12.49,Gravel,11.89,Gravel,11.89,,,,,,,,,,
GW025045.2.1,163.841,27.247,191.65,Sand,9.75,Sand,1.83,Sand,2.44,,,,,,,,,,
GW025045.3.2,164.554,26.54,191.65,Sand,9.75,Sand,1.83,Sand,2.44,,,,,,,,,,
GW025245.1.1,146.87,30.028,,,,,,,,,,,,,,,,,
GW025245.3.3,135.054,41.84,,,,,,,,,,,,,,,,,
GW025299.1.2,129.496,43.999,173.98,Clay,8.84,Gravel,1.53,Clay,7.62,,,,,,,,,,
GW025333.5.4,178.287,18.51,197.6,Gravel,6.09,Gravel,4.57,Gravel,4.58,,,,,,,,,,
GW025340.2.2,169.69,28.201,198.53,Gravel,7.32,Gravel,1.52,Gravel,3.35,,,,,,,,,,
GW030000.1.1,274.136,12.659,287.5,Clay,3.05,Clay,1.53,Clay,1.52,,,,,,,,,,
GW030029.2.2,360.27,4.123,365.04,Clay,8.53,None,0,Clay,1.53,,,,,,,,,,
GW030070.4.4,182.56,16.84,8.53,Gravel,7.62,Clay,3.96,Clay,3.96,,,,,,,,,,
GW030083.2.2,289.725,24.363,315.22,Gravel,25.91,Clay,7.62,Gravel,4.57,,,,,,,,,,
GW030087.2.2,320.169,17.416,338.06,,,,,,,,,,,,,,,,
GW030121.1.3,202.306,8.738,338.06,Gravel,6.4,Sand,7.62,Gravel,7.32,,,,,,,,,,
GW030129.1.1,241.305,6.392,247.97,Gravel,1.52,Sandy Clay,0.61,Gravel,1.52,,,,,,,,,,
GW030130.1.1,243.409,4.682,16.41,Sandy Clay,2.14,Clay,3.05,Sandy Clay,2.13,,,,,,,,,,
GW030130.1.2,238.714,9.38,16.41,Sandy Clay,1.52,Sandy Clay,2.13,Clay,0.31,,,,,,,,,,
GW030131.1.1,245.531,4.657,250.73,Clay,9.15,Sandy Clay,0.91,Sandy Clay,3.04,,,,,,,,,,
GW030136.1.1,366.616,6.986,373.6,Clay,1.52,Clay,1.22,Boulders,1.37,,,,,,,,,,
GW030223.2.2,139.48,44.32,184.53,Clay,29.87,Gravel,1.52,Clay,10.67,,,,,,,,,,
GW030233.1.1,221.45,11.54,184.53,Clay,1.52,Gravel,0.61,Gravel,4.57,,,,,,,,,,
GW030233.1.3,219.97,13.03,184.53,Gravel,4.57,Clay,1.52,Clay,0.92,,,,,,,,,,
GW030306.1.1,270.548,8.743,280.8,Gravel,1.52,Clay,6.1,Gravel,3.05,,,,,,,,,,
GW030306.2.2,269.437,9.855,280.8,Gravel,3.05,Gravel,1.52,Gravel,4.57,,,,,,,,,,
GW030306.3.3,267.381,11.907,280.8,Gravel,3.05,Gravel,1.52,Gravel,4.57,,,,,,,,,,
GW030310.1.1,191.77,14.52,207.16,Clay,14.3,Clay,4.6,Clay,3.4,,,,,,,,,,
GW030310.1.2,194.83,11.47,207.16,Clay,14.3,Clay,4.6,Clay,3.4,,,,,,,,,,
GW030344.1.1,251.811,13.38,15.65,Sand,7.01,Clay,5.18,Clay,1.52,,,,,,,,,,
GW030344.2.2,252.314,12.883,15.65,Sand,7.01,Clay,5.18,Clay,1.52,,,,,,,,,,
GW030344.3.3,252.403,12.788,15.65,Sand,7.01,Clay,5.18,Clay,1.52,,,,,,,,,,
GW030450.1.1,178.54,22.75,202.43,Gravel,5,Sand,1,Clay,3,,,,,,,,,,
GW030450.1.3,183.34,17.96,202.43,Clay,4,Clay,3,Sand,1,,,,,,,,,,
GW030468.1.1,232.196,7.299,240.39,Sand,21.7,Clay,7,Shale,17,,,,,,,,,,
GW036005.1.1,222.601,10.493,234.01,Sand,2,Clay,7,Sand,0.5,,,,,,,,,,
GW036005.1.2,223.415,9.685,234.01,Sand,2,Clay,7,Sand,0.5,,,,,,,,,,
GW036045.1.1,139.508,35.388,175.73,Clay,18.29,Gravel,4.57,Sand,1.52,,,,,,,,,,
GW036045.3.3,128.846,46.046,175.73,Sand,1.52,Clay,18.29,Clay,3.05,,,,,,,,,,
GW036092.1.1,232.07,5.428,238.69,Sand,3.05,Clay,1.53,Gravel,16.76,,,,,,,,,,
GW036154.2.2,147.03,25.17,173.12,Gravel,7.62,Clay,5.48,Clay,3.05,,,,,,,,,,
GW036186.1.1,147.03,5.911,239.07,Clay,12.2,Loam,1.52,Clay,6.09,,,,,,,,,,
GW036187.1.1,234.674,5.423,261.32,Clay,4.58,Topsoil,1.52,Clay,1.52,,,,,,,,,,
GW036213.1.1,266.608,4.093,271.9,Clay,5.5,Clay,1.5,Clay,1.2,,,,,,,,,,
GW036213.3.3,262.257,8.443,271.9,Clay,1.2,Clay,5.5,Clay,2.7,,,,,,,,,,
GW036215.1.1,262.9,9.59,15.51,Clay,3,Clay,3.7,Clay,5.2,,,,,,,,,,
GW036215.1.3,262.34,10.15,15.51,Clay,5.2,Clay,3,Clay,8.9,,,,,,,,,,
GW036218.2.2,130.608,38.692,169.3,Clay,8.53,Gravel,5.19,Gravel,3.05,,,,,,,,,,
GW036224.1.1,132.062,33.338,165.4,Gravel,3.66,Clay,13.72,Clay,2.44,,,,,,,,,,
GW036249.2.2,132.907,27.789,160.7,Gravel,3.66,Clay,6.09,Clay,20.73,,,,,,,,,,
GW036255.2.2,124.064,34.483,158.55,Clay,22.56,Gravel,1.83,Gravel,10.67,,,,,,,,,,
GW036320.1.3,122.62,25.876,148.5,Sandstone,4.8,Sandstone,5.5,Sandstone,0.7,,,,,,,,,,
GW036334.1.1,337.931,21.359,360.55,Sand,11.3,Clay,2.1,Clay,2.7,,,,,,,,,,
GW036384.1.1,333.973,11.912,346.99,Clay,1.2,Clay,1.6,Sand,2.1,,,,,,,,,,
GW036413.1.1,318.954,1.139,321.18,Clay,1.8,None,0,Clay,2.5,,,,,,,,,,
GW036415.1.3,303.859,27.925,332.9,Gravel,6,Clay,2,Clay,1.7,,,,,,,,,,
GW036418.1.1,277.097,30.503,308.61,Gravel,3,Clay,5,Clay,5.4,,,,,,,,,,
GW036418.1.3,278.093,29.495,308.61,Gravel,3,Clay,5,Clay,5.4,,,,,,,,,,
GW036478.2.2,233.013,22.184,256.63,Clay,10,Clay,2,Gravel,2,,,,,,,,,,
GW036515.1.1,263.229,15.366,280.02,Clay,14,Topsoil,2,Clay,4,,,,,,,,,,
GW036515.2.2,263.284,15.309,280.02,Clay,14,Topsoil,2,Clay,4,,,,,,,,,,
GW036515.3.3,263.835,14.757,280.02,Clay,14,Topsoil,2,Clay,4,,,,,,,,,,
GW036600.1.1,236.272,9.52,246.97,Clay,8.5,Topsoil,2.5,Clay,2.2,,,,,,,,,,
GW036600.1.3,236.321,9.473,246.97,Clay,8.5,Topsoil,2.5,Clay,2.2,,,,,,,,,,
GW036974.2.2,295.92,1.778,298.7,Clay,5,None,0,Clay,1,,,,,,,,,,
GW036976.1.2,299.155,8.022,308.18,Basalt,14.5,Clay,1.5,Basalt,1,,,,,,,,,,
GW041027.1.1,312.331,5.119,318.45,Calcarenite,5,Gravel,3,Gravel,2,,,,,,,,,,
GW093000.1.1,288.178,4.962,293.14,Gravel,5,Loam,1,Shale,1,,,,,,,,,,
GW093002.1.1,307.065,3.935,311,Gravel,5.5,Clay,3,Shale,0.5,,,,,,,,,,
GW093008.1.1,330.575,6.405,336.98,Gravel,11,Clay,3,Shale,0,,,,,,,,,,
GW093013.1.1,344.914,3.396,348.31,Clay,5.5,None,0,Gravel,3.5,,,,,,,,,,
GW093021.1.1,425.696,4.834,430.53,Clay,7,None,0,Gravel,3.5,,,,,,,,,,
GW093028.1.1,467.189,5.251,472.44,Clay,4,Clay,5,Shale,2,,,,,,,,,,
GW093029.1.1,413.979,3.821,417.8,Clay,12,None,0,Sandy Clay,2,,,,,,,,,,
GW093030.1.1,NA,NA,393.21,NA,,,,,,,,,,,,,,,
GW093033.1.1,390.594,2.736,393.33,Clay,12,None,0,Sandy Clay,3,,,,,,,,,,
GW093036.1.1,410.9,7.69,16.36,Clay,5,Clay,3,Gravel,3,,,,,,,,,,
GW093037.1.1,410.903,7.162,16.36,Clay,8,Clay,2,Gravel,9,,,,,,,,,,
GW093038.1.1,410.993,7.694,16.37,Gravel,7,Clay,6,Sand,3,,,,,,,,,,
GW093039.1.1,412.543,5.658,418.22,Clay,11,None,0,Sandy Clay,1,,,,,,,,,,
GW093040.1.1,413.949,4.198,16.37,Clay,11,Topsoil,1,Sandy Clay with Gravel,1,,,,,,,,,,
GW093042.1.1,373.126,4.844,377.97,Gravel,1,Clay,4,Gravel,3.5,,,,,,,,,,
GW093067.1.1,241.624,44.008,287.27,Sandstone,17,Clay,6,Siltstone,29,,,,,,,,,,
GW093068.1.1,NA,NA,271,NA,,,,,,,,,,,,,,,
GW098206.1.1,198.197,6.162,0,Sand,2,Sand,1,Sand,1,,,,,,,,,,
GW098206.2.2,198.236,6.131,0,Sand,2,Sand,1,Sand,1,,,,,,,,,,
GW098207.1.1,198.338,5.47,0,Silt,3,Silt,3,Sand,1,,,,,,,,,,
GW098207.2.2,198.274,5.541,0,Silt,3,Silt,3,Sand,1,,,,,,,,,,
GW098208.1.1,196.613,6.427,0,Sand,12.7,Sand,3.8,Sand,6.5,,,,,,,,,,
GW098208.2.2,196.487,6.493,0,Sand,12.7,Sand,3.8,Sand,6.5,,,,,,,,,,
GW098209.1.1,196.507,6.313,0,Sand,3,Sand,2,Gravel,5,,,,,,,,,,
GW098209.2.2,196.422,6.418,0,Sand,3,Sand,2,Gravel,5,,,,,,,,,,
GW098210.1.1,196.406,5.674,0,Sand,1,Sand,1,Sand,2,,,,,,,,,,
GW098210.2.2,196.393,5.624,0,Sand,1,Sand,1,Sand,2,,,,,,,,,,
GW098211.1.1,198.337,3.826,0,Sand,2.5,Silt,1.5,Sand,6,,,,,,,,,,
GW098211.2.2,198.332,3.917,0,Sand,2.5,Silt,1.5,Sand,6,,,,,,,,,,
GW099026.1.1,NA,NA,,NA,,,,,,,,,,,,,,,
GW099027.1.1,231.857,11.477,244.31,Colluvium,3,Clay,1,Colluvium,1,,,,,,,,,,
GW099028.1.1,244.155,11.037,255.57,Clay,6,Clay,4,Clay,5,,,,,,,,,,
GW099029.1.1,262.811,17.459,280.69,Clay,7,Clay,1,Clay,10,,,,,,,,,,
GW099030.1.1,351.478,5.674,357.93,Clay,7,None,0,Alluvium,2,,,,,,,,,,
GW099031.1.1,3573.469,5.784,357.94,Clay,5,Soil,1,Alluvium,4,,,,,,,,,,
GW099032.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099033.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099034.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099035.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099036.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099037.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099038.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099039.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099040.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099041.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099042.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099043.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099044.1.1,275.618,54.772,NA,,,,,,,,,,,,,,,,
GW099045.1.1,280.752,49.838,NA,,,,,,,,,,,,,,,,
GW273033.1.1,384.812,7.189,393,Sandy Clay,7,Topsoil,3,Gravel,5.8,,,,,,,,,,
GW273307.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW273308.1.1,317.27,23.01,341.19,Basalt,49,Sandstone,10.5,Clay,5,,,,,,,,,,
GW965569.1.2,339.801,10.367,351.07,Sandstone,1,Sandstone,1,Mudstone,13,,,,,,,,,,
GW967137.1.1,252.969,4.558,281.5,Gravel,6,Sand,5,Gravel,1,,,,,,,,,,
GW967137.2.2,251.671,5.862,281.5,Gravel,6,Sand,5,Gravel,1,,,,,,,,,,
GW967138.1.1,284.159,3.301,313.61,Sand,4,None,0,Gravel,8,,,,,,,,,,
GW967138.2.2,281.2,5.94,313.61,Gravel,8, Sand	,4,Clay,10,,,,,,,,,,
GW968319.1.1,280.611,21.448,NA,,,,,,,,,,,,,,,,
GW968997.1.1,285.387,63.75,349.67,Tuff,66,Silt,2,Bedrock,208,,,,,,,,,,
GW969004.1.1,281.699,18.652,301.18,Clay,22,Topsoil,2,Sand,3,,,,,,,,,,
GW969005.1.1,281.691,18.422,301.24,Clay,22,Topsoil,2,Sand,18,,,,,,,,,,
GW969006.1.1,281.657,18.764,301.39,Clay,22,Topsoil,2,Sand,18,,,,,,,,,,
GW969007.1.1,281.685,18.624,301.43,Clay,22,Topsoil,2,Sand,18,,,,,,,,,,
GW969008.1.1,284.927,15.408,301.47,Clay,18,Topsoil,2,Silty Clay,6,,,,,,,,,,
GW969015.1.1,285.944,64.001,351.01,Tuff,66,Silt,2,Bedrock,180,,,,,,,,,,
GW970321.1.1,284.595,11.546,297.23,Sand,7,Clay,6,Sand,5,,,,,,,,,,
GW970322.1.1,285.837,10.304,297.25,Silt,7,Silt,1,Gravel,14,,,,,,,,,,
GW970323.1.1,288.914,7.11,0,Sand,5,Silt,1,Silt,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
